date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:59	1395/1395	---M--	200	added ('OK')	text/css	etag:W/%221395-1634274903000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/css/main.css?74903	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/css/main3d9d.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:07:59	3724/3724	---M--	200	added ('OK')	text/css	etag:W/%223724-1634274903000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/css/main-content02.content.css?74903	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/css/main-content02.content3d9d.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:00	3351/3351	---M--	200	added ('OK')	text/css	etag:W/%223351-1634274943000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/css/main-content01.content.css?74943	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/css/main-content01.content7204.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:00	5040/5040	---M--	200	added ('OK')	text/css	etag:W/%225040-1644310987000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/css/header.content.css?10987	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/css/header.content0b7a.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:00	1069/1069	---M--	200	added ('OK')	text/css	etag:W/%221069-1632873966000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/css/footer.content.css?73966	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/aisw/css/footer.content350a.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:00	85577/85577	---M--	200	added ('OK')	application/javascript	etag:W/%2285577-1606350100000%22	https://aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-2.2.4.min.js	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-2.2.4.min.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:00	253669/253669	---M--	200	added ('OK')	application/javascript	etag:W/%22253669-1606350100000%22	https://aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-ui-1.12.1.min.js	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-ui-1.12.1.min.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:01	506357/506357	---M--	200	added ('OK')	application/javascript	etag:W/%22506357-1635917037000%22	https://aisw.kangwon.ac.kr/_res/_common/js/cms.js	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/_common/js/cms.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:01	128900/128900	---M--	200	added ('OK')	application/javascript	etag:W/%22128900-1611795211000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/swiper.min.js	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/js/swiper.min.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
16:08:01	8374/8374	---M--	200	added ('OK')	application/javascript	etag:W/%228374-1606350655000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/scroll.js	C:/Users/india/eclipse-workspaces/Web_Programming/JspProject/src/main/webapp/AI_Software/aisw.kangwon.ac.kr/_res/knu/_share/js/scroll.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
